Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,10,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,12,2016,BAYVIEW,-122.3808985,37.73322564,"(37.7332256396347, -122.380898507162)"
ASSAULT,12,2016,BAYVIEW,-122.3808985,37.73322564,"(37.7332256396347, -122.380898507162)"
ASSAULT,12,2016,BAYVIEW,-122.3808985,37.73322564,"(37.7332256396347, -122.380898507162)"
ASSAULT,8,2016,BAYVIEW,-122.4021166,37.73323547,"(37.7332354676556, -122.402116556292)"
ASSAULT,10,2016,TARAVAL,-122.4845155,37.73327604,"(37.7332760430633, -122.484515547254)"
ASSAULT,10,2016,TARAVAL,-122.4845155,37.73327604,"(37.7332760430633, -122.484515547254)"
ASSAULT,8,2016,INGLESIDE,-122.4138255,37.73327812,"(37.7332781171768, -122.41382551793)"
ASSAULT,9,2016,BAYVIEW,-122.4038698,37.73337042,"(37.7333704225045, -122.403869762665)"
ASSAULT,7,2016,BAYVIEW,-122.4038698,37.73337042,"(37.7333704225045, -122.403869762665)"
ASSAULT,11,2016,INGLESIDE,-122.428991,37.73337765,"(37.7333776547173, -122.42899100679)"
ASSAULT,7,2016,BAYVIEW,-122.3799327,37.73338153,"(37.7333815339796, -122.379932683403)"
ASSAULT,12,2016,BAYVIEW,-122.3799327,37.73338153,"(37.7333815339796, -122.379932683403)"
ASSAULT,11,2016,TARAVAL,-122.4818744,37.73341004,"(37.7334100417234, -122.481874376271)"
ASSAULT,11,2016,TARAVAL,-122.4818744,37.73341004,"(37.7334100417234, -122.481874376271)"
ASSAULT,3,2016,INGLESIDE,-122.4367952,37.73342383,"(37.7334238295995, -122.436795161314)"
ASSAULT,9,2016,INGLESIDE,-122.4489449,37.7334461,"(37.7334461040901, -122.448944949641)"
ASSAULT,9,2016,INGLESIDE,-122.4489449,37.7334461,"(37.7334461040901, -122.448944949641)"
ASSAULT,11,2016,INGLESIDE,-122.4488066,37.73344666,"(37.7334466590025, -122.448806630822)"
ASSAULT,11,2016,INGLESIDE,-122.4488066,37.73344666,"(37.7334466590025, -122.448806630822)"
ASSAULT,7,2016,TARAVAL,-122.4802466,37.73344725,"(37.7334472498676, -122.480246607729)"
ASSAULT,7,2016,TARAVAL,-122.4802466,37.73344725,"(37.7334472498676, -122.480246607729)"
ASSAULT,5,2016,BAYVIEW,-122.4039698,37.73344771,"(37.7334477107451, -122.403969785323)"
ASSAULT,11,2016,INGLESIDE,-122.4285613,37.73347185,"(37.7334718466209, -122.428561309285)"
ASSAULT,7,2016,BAYVIEW,-122.3899798,37.73352161,"(37.7335216083743, -122.389979849085)"
ASSAULT,7,2016,BAYVIEW,-122.3899798,37.73352161,"(37.7335216083743, -122.389979849085)"
ASSAULT,10,2016,BAYVIEW,-122.3899798,37.73352161,"(37.7335216083743, -122.389979849085)"
ASSAULT,8,2016,BAYVIEW,-122.3899798,37.73352161,"(37.7335216083743, -122.389979849085)"
ASSAULT,11,2016,BAYVIEW,-122.3884831,37.73353597,"(37.7335359662276, -122.388483091972)"
ASSAULT,12,2016,INGLESIDE,-122.4257238,37.73354521,"(37.7335452091493, -122.425723820747)"
ASSAULT,7,2016,INGLESIDE,-122.4257238,37.73354521,"(37.7335452091493, -122.425723820747)"
ASSAULT,2,2016,INGLESIDE,-122.4341458,37.73355061,"(37.7335506131208, -122.434145789073)"
ASSAULT,7,2016,INGLESIDE,-122.4341458,37.73355061,"(37.7335506131208, -122.434145789073)"
ASSAULT,7,2016,INGLESIDE,-122.4341458,37.73355061,"(37.7335506131208, -122.434145789073)"
ASSAULT,9,2016,INGLESIDE,-122.4341458,37.73355061,"(37.7335506131208, -122.434145789073)"
ASSAULT,11,2016,BAYVIEW,-122.3857506,37.73355116,"(37.733551160888, -122.385750644723)"
ASSAULT,11,2016,BAYVIEW,-122.3857506,37.73355116,"(37.733551160888, -122.385750644723)"
ASSAULT,3,2016,BAYVIEW,-122.3909782,37.73358848,"(37.7335884807714, -122.390978248429)"
ASSAULT,5,2016,BAYVIEW,-122.3909782,37.73358848,"(37.7335884807714, -122.390978248429)"
ASSAULT,5,2016,BAYVIEW,-122.3909782,37.73358848,"(37.7335884807714, -122.390978248429)"
ASSAULT,4,2016,INGLESIDE,-122.4293875,37.73361862,"(37.7336186247114, -122.429387493636)"
ASSAULT,4,2016,INGLESIDE,-122.4293875,37.73361862,"(37.7336186247114, -122.429387493636)"
ASSAULT,4,2016,INGLESIDE,-122.4293875,37.73361862,"(37.7336186247114, -122.429387493636)"
ASSAULT,8,2016,BAYVIEW,-122.3822806,37.73363247,"(37.7336324732528, -122.382280587597)"
ASSAULT,8,2016,BAYVIEW,-122.3822806,37.73363247,"(37.7336324732528, -122.382280587597)"
ASSAULT,11,2016,BAYVIEW,-122.3822806,37.73363247,"(37.7336324732528, -122.382280587597)"
ASSAULT,3,2016,BAYVIEW,-122.3912434,37.7336342,"(37.7336342023099, -122.391243431227)"
ASSAULT,7,2016,BAYVIEW,-122.4014279,37.7336458,"(37.7336457993937, -122.401427923842)"
